agent_id,customer_id,amount,timestamp,payment_method,remittance_status,branch
AGT036,CUST0300,1781.51,2026-03-23 07:22:52,momo,remitted,Kumasi
AGT050,CUST0082,44.37,2026-02-07 20:03:01,momo,remitted,Tamale
AGT040,CUST0454,752.7,2026-05-16 08:02:57,momo,remitted,Cape_Coast
AGT004,CUST0402,74.29,2026-03-21 13:13:27,cash,remitted,Accra
AGT002,CUST0211,798.09,2026-04-14 07:17:51,momo,remitted,Cape_Coast
AGT006,CUST0150,1061.11,2026-04-04 14:59:58,bank_transfer,remitted,Cape_Coast
AGT042,CUST0037,1033.13,2026-04-16 19:33:15,bank_transfer,remitted,Cape_Coast
AGT004,CUST0352,347.94,2026-01-09 10:46:42,momo,remitted,Accra
AGT029,CUST0312,1298.57,2026-04-29 07:21:44,momo,remitted,Accra
AGT018,CUST0361,108.66,2026-05-17 02:52:19,momo,pending,Cape_Coast
AGT026,CUST0059,1528.58,2026-01-29 15:44:17,bank_transfer,missed,Tamale
AGT044,CUST0131,1894.36,2026-02-09 03:20:03,bank_transfer,missed,Takoradi
AGT034,CUST0412,692.74,2026-03-11 13:58:22,cash,remitted,Cape_Coast
AGT010,CUST0202,1044.13,2026-03-04 14:17:23,cash,remitted,Kumasi
AGT036,CUST0243,770.24,2026-04-14 01:50:37,cash,remitted,Cape_Coast
AGT014,CUST0035,33.29,2026-06-07 05:47:10,bank_transfer,remitted,Accra
AGT031,CUST0445,784.03,2026-06-16 05:25:01,cash,remitted,Takoradi
AGT048,CUST0093,1587.61,2026-02-15 10:12:17,momo,remitted,Kumasi
AGT015,CUST0438,1200.06,2026-02-02 18:06:38,momo,remitted,Takoradi
AGT008,CUST0447,220.49,2026-03-11 05:22:33,bank_transfer,remitted,Takoradi
AGT014,CUST0207,1697.34,2026-06-01 06:49:05,cash,missed,Kumasi
AGT023,CUST0353,1071.55,2026-05-27 10:29:31,momo,remitted,Cape_Coast
AGT040,CUST0391,1686.61,2026-05-17 18:02:21,bank_transfer,remitted,Cape_Coast
AGT021,CUST0332,1168.84,2026-01-09 02:11:05,cash,remitted,Cape_Coast
AGT016,CUST0305,1128.18,2026-02-21 13:39:49,momo,remitted,Tamale
AGT045,CUST0350,228.41,2026-05-05 16:07:49,cash,remitted,Cape_Coast
AGT018,CUST0213,351.37,2026-06-12 09:57:50,bank_transfer,remitted,Kumasi
AGT047,CUST0159,1944.61,2026-01-15 19:36:44,cash,remitted,Tamale
AGT024,CUST0442,472.4,2026-03-11 13:15:55,bank_transfer,pending,Cape_Coast
AGT026,CUST0445,1955.36,2026-05-31 03:29:09,cash,pending,Tamale
AGT025,CUST0024,1073.19,2026-05-30 08:17:38,momo,missed,Kumasi
AGT045,CUST0404,288.86,2026-02-23 20:16:28,bank_transfer,pending,Cape_Coast
AGT041,CUST0293,216.62,2026-01-06 12:31:53,bank_transfer,remitted,Accra
AGT029,CUST0004,433.55,2026-01-07 11:05:38,bank_transfer,remitted,Kumasi
AGT015,CUST0220,1852.76,2026-01-09 18:49:47,cash,remitted,Takoradi
AGT045,CUST0364,840.02,2026-01-28 05:28:53,cash,remitted,Takoradi
AGT001,CUST0382,802.96,2026-05-11 07:01:57,momo,remitted,Kumasi
AGT025,CUST0020,640.15,2026-04-24 13:33:20,bank_transfer,pending,Takoradi
AGT007,CUST0444,311.18,2026-01-09 03:51:13,bank_transfer,remitted,Kumasi
AGT009,CUST0152,985.95,2026-01-31 15:41:34,cash,remitted,Accra
AGT024,CUST0050,277.49,2026-05-09 03:28:20,cash,remitted,Kumasi
AGT001,CUST0177,1674.25,2026-03-21 06:28:09,momo,missed,Cape_Coast
AGT044,CUST0435,753.39,2026-03-20 16:19:48,momo,remitted,Cape_Coast
AGT008,CUST0096,762.11,2025-12-29 06:49:25,cash,pending,Tamale
AGT024,CUST0105,958.53,2025-12-28 07:14:27,bank_transfer,pending,Takoradi
AGT011,CUST0420,899.37,2026-02-19 18:41:41,momo,missed,Takoradi
AGT017,CUST0250,1989.82,2026-05-06 18:31:23,cash,pending,Kumasi
AGT008,CUST0117,1099.85,2026-02-12 22:39:28,cash,pending,Takoradi
AGT035,CUST0354,194.64,2025-12-23 01:09:37,bank_transfer,remitted,Cape_Coast
AGT035,CUST0228,1221.62,2026-05-03 01:04:24,cash,remitted,Accra
AGT033,CUST0066,320.14,2025-12-24 18:50:03,cash,remitted,Kumasi
AGT005,CUST0335,81.26,2026-02-18 15:44:37,momo,remitted,Takoradi
AGT042,CUST0418,1942.07,2026-01-17 21:20:56,cash,missed,Cape_Coast
AGT039,CUST0420,1551.61,2026-02-07 07:00:47,cash,remitted,Tamale
AGT041,CUST0262,1960.62,2026-01-10 07:12:44,momo,missed,Takoradi
AGT028,CUST0295,966.2,2026-06-03 04:47:22,bank_transfer,remitted,Accra
AGT007,CUST0426,1073.87,2026-01-31 11:56:11,bank_transfer,remitted,Accra
AGT009,CUST0243,353.31,2026-06-04 19:00:03,momo,missed,Takoradi
AGT008,CUST0371,508.88,2026-03-19 05:18:39,momo,remitted,Takoradi
AGT012,CUST0186,1680.33,2025-12-26 16:03:45,bank_transfer,remitted,Cape_Coast
AGT034,CUST0246,725.25,2026-05-31 05:11:53,bank_transfer,remitted,Takoradi
AGT033,CUST0125,1657.09,2026-05-25 10:43:45,bank_transfer,remitted,Tamale
AGT048,CUST0268,1423.85,2026-04-24 03:34:26,bank_transfer,remitted,Cape_Coast
AGT023,CUST0131,370.8,2026-03-08 22:37:58,bank_transfer,remitted,Kumasi
AGT024,CUST0237,1024.74,2026-03-26 00:27:43,momo,remitted,Tamale
AGT037,CUST0018,1361.23,2026-05-27 19:20:50,cash,pending,Cape_Coast
AGT035,CUST0040,485.37,2026-02-27 22:41:20,bank_transfer,pending,Cape_Coast
AGT044,CUST0021,1664.76,2026-04-05 23:39:35,bank_transfer,remitted,Accra
AGT040,CUST0399,1098.76,2026-04-26 22:35:47,cash,remitted,Cape_Coast
AGT022,CUST0225,347.18,2026-03-11 12:52:12,cash,pending,Tamale
AGT027,CUST0355,1174.31,2026-02-07 14:58:47,cash,remitted,Takoradi
AGT035,CUST0282,1999.43,2026-02-25 00:28:14,cash,remitted,Tamale
AGT001,CUST0008,318.03,2026-05-15 22:59:09,cash,remitted,Kumasi
AGT035,CUST0100,1637.18,2026-01-05 18:43:36,cash,missed,Cape_Coast
AGT037,CUST0240,430.47,2026-02-22 06:39:54,momo,remitted,Cape_Coast
AGT047,CUST0478,1569.13,2026-04-21 08:25:04,cash,remitted,Cape_Coast
AGT014,CUST0087,1474.46,2026-02-21 00:35:03,cash,remitted,Cape_Coast
AGT003,CUST0298,614.97,2026-01-21 02:34:55,momo,remitted,Accra
AGT001,CUST0428,665.13,2026-01-02 22:43:02,cash,remitted,Accra
AGT005,CUST0014,1589.19,2026-03-14 07:49:48,bank_transfer,remitted,Takoradi
AGT026,CUST0334,933.66,2025-12-22 13:55:27,bank_transfer,pending,Cape_Coast
AGT014,CUST0002,1467.02,2026-03-13 00:41:59,cash,missed,Kumasi
AGT039,CUST0375,313.01,2025-12-24 22:08:44,momo,remitted,Takoradi
AGT027,CUST0293,1708.06,2026-02-28 19:39:58,bank_transfer,remitted,Cape_Coast
AGT009,CUST0325,1427.55,2026-01-26 22:05:46,momo,remitted,Accra
AGT015,CUST0422,1815.75,2026-01-22 16:52:08,bank_transfer,missed,Kumasi
AGT015,CUST0493,282.1,2026-05-05 09:43:54,cash,pending,Takoradi
AGT026,CUST0041,1194.17,2026-03-09 15:38:44,momo,remitted,Kumasi
AGT042,CUST0318,1206.26,2026-02-04 21:52:47,momo,remitted,Cape_Coast
AGT013,CUST0316,719.85,2026-05-23 05:33:05,momo,pending,Tamale
AGT032,CUST0381,927.76,2026-04-17 20:05:17,bank_transfer,remitted,Kumasi
AGT039,CUST0111,95.2,2026-01-08 07:20:02,bank_transfer,remitted,Kumasi
AGT049,CUST0014,1496.8,2026-05-12 20:53:13,bank_transfer,remitted,Accra
AGT032,CUST0231,1107.66,2026-02-27 03:28:35,cash,remitted,Cape_Coast
AGT004,CUST0473,134.33,2026-06-12 19:33:35,bank_transfer,remitted,Kumasi
AGT030,CUST0084,1367.9,2026-03-13 16:02:30,cash,pending,Cape_Coast
AGT037,CUST0130,944.23,2026-02-24 19:39:22,momo,remitted,Accra
AGT023,CUST0231,88.23,2026-01-07 23:04:59,momo,remitted,Cape_Coast
AGT039,CUST0326,1939.82,2026-04-14 05:13:33,cash,remitted,Accra
AGT045,CUST0145,1899.24,2026-06-15 11:36:58,bank_transfer,remitted,Accra
AGT015,CUST0379,1035.55,2026-05-11 16:30:04,cash,remitted,Takoradi
AGT043,CUST0345,205.47,2026-02-11 10:57:26,momo,remitted,Cape_Coast
AGT029,CUST0028,1514.15,2026-05-23 02:16:13,momo,pending,Tamale
AGT036,CUST0066,994.02,2026-06-03 16:59:24,cash,remitted,Takoradi
AGT013,CUST0163,618.85,2026-03-15 01:05:45,bank_transfer,remitted,Accra
AGT032,CUST0229,993.01,2026-02-15 02:54:39,bank_transfer,remitted,Tamale
AGT007,CUST0261,1054.44,2026-05-12 11:28:12,cash,remitted,Kumasi
AGT022,CUST0449,1134.17,2026-04-19 07:21:25,cash,missed,Kumasi
AGT028,CUST0424,893.62,2026-01-18 11:41:36,bank_transfer,remitted,Takoradi
AGT002,CUST0460,1219.4,2026-05-17 05:47:57,momo,missed,Tamale
AGT042,CUST0440,1839.09,2026-05-31 10:59:20,cash,remitted,Cape_Coast
AGT045,CUST0164,737.29,2026-04-10 22:33:29,bank_transfer,pending,Tamale
AGT006,CUST0301,1456.92,2025-12-24 14:03:11,bank_transfer,remitted,Takoradi
AGT028,CUST0407,1791.02,2026-04-10 01:28:32,momo,remitted,Cape_Coast
AGT028,CUST0303,922.84,2026-05-17 09:50:00,momo,remitted,Cape_Coast
AGT044,CUST0287,898.04,2026-05-20 11:21:56,momo,remitted,Kumasi
AGT044,CUST0395,1212.19,2026-04-04 09:56:28,momo,pending,Tamale
AGT020,CUST0010,1190.99,2026-01-02 15:16:23,momo,pending,Cape_Coast
AGT030,CUST0195,1617.05,2026-02-04 02:28:52,cash,remitted,Takoradi
AGT011,CUST0118,963.44,2026-04-14 00:19:06,bank_transfer,remitted,Kumasi
AGT028,CUST0270,1992.32,2026-06-04 19:46:55,cash,remitted,Cape_Coast
AGT025,CUST0080,137.75,2026-05-10 12:17:10,cash,pending,Tamale
AGT039,CUST0458,26.27,2026-02-20 02:13:12,cash,remitted,Kumasi
AGT033,CUST0093,1287.59,2025-12-20 22:57:41,cash,remitted,Tamale
AGT001,CUST0266,610.9,2026-01-21 14:15:42,cash,remitted,Tamale
AGT027,CUST0332,495.96,2026-03-25 00:09:04,momo,missed,Tamale
AGT013,CUST0350,637.56,2026-01-20 02:14:58,momo,remitted,Kumasi
AGT041,CUST0361,526.97,2026-03-05 14:29:44,bank_transfer,pending,Cape_Coast
AGT003,CUST0257,80.96,2026-02-27 06:05:04,cash,pending,Accra
AGT039,CUST0133,1943.64,2026-01-26 07:53:28,bank_transfer,remitted,Cape_Coast
AGT006,CUST0276,457.08,2026-04-05 11:53:37,momo,remitted,Kumasi
AGT008,CUST0264,1473.38,2026-02-12 07:27:06,momo,pending,Accra
AGT027,CUST0171,1529.94,2026-03-03 22:32:27,momo,remitted,Accra
AGT009,CUST0460,1859.93,2026-02-10 23:24:11,cash,missed,Accra
AGT037,CUST0001,80.49,2026-04-02 08:44:19,cash,remitted,Takoradi
AGT033,CUST0313,1746.66,2026-01-08 20:01:19,momo,remitted,Kumasi
AGT042,CUST0064,1063.91,2026-06-08 01:27:48,bank_transfer,missed,Takoradi
AGT044,CUST0374,1272.44,2026-01-07 02:36:34,bank_transfer,remitted,Accra
AGT024,CUST0468,1296.05,2026-05-31 16:54:46,momo,remitted,Takoradi
AGT015,CUST0284,1643.2,2026-05-16 22:03:37,bank_transfer,pending,Takoradi
AGT032,CUST0121,680.15,2026-05-11 07:05:58,momo,remitted,Kumasi
AGT032,CUST0107,1471.44,2026-03-21 23:16:54,bank_transfer,remitted,Tamale
AGT024,CUST0421,1066.58,2026-03-22 05:17:18,momo,remitted,Takoradi
AGT041,CUST0175,1590.92,2026-06-15 00:11:29,bank_transfer,pending,Takoradi
AGT049,CUST0485,1981.28,2026-01-20 01:52:59,cash,missed,Accra
AGT049,CUST0204,417.29,2026-02-16 17:02:46,momo,remitted,Accra
AGT012,CUST0165,1989.4,2026-05-20 21:13:13,momo,missed,Accra
AGT039,CUST0305,197.83,2026-05-29 16:03:40,bank_transfer,missed,Cape_Coast
AGT002,CUST0497,24.59,2026-02-17 06:22:49,momo,remitted,Takoradi
AGT003,CUST0120,107.44,2025-12-27 19:11:23,momo,remitted,Accra
AGT049,CUST0044,696.73,2026-01-06 18:38:46,momo,remitted,Kumasi
AGT037,CUST0312,1273.15,2026-02-01 05:03:53,cash,remitted,Cape_Coast
AGT049,CUST0156,156.68,2026-02-24 06:24:47,cash,pending,Tamale
AGT017,CUST0367,31.22,2026-01-23 04:47:45,bank_transfer,missed,Takoradi
AGT049,CUST0207,1875.44,2026-04-20 05:40:45,cash,remitted,Takoradi
AGT002,CUST0390,1647.41,2026-06-17 10:27:33,bank_transfer,remitted,Kumasi
AGT002,CUST0108,1622.18,2026-06-01 10:12:21,cash,remitted,Tamale
AGT028,CUST0251,1771.16,2026-05-13 16:30:57,bank_transfer,remitted,Tamale
AGT023,CUST0445,1406.07,2026-02-18 21:58:11,cash,remitted,Cape_Coast
AGT037,CUST0404,226.72,2026-01-08 22:31:22,cash,remitted,Takoradi
AGT032,CUST0370,810.22,2026-05-14 23:13:30,bank_transfer,remitted,Accra
AGT033,CUST0334,1451.84,2026-02-13 12:31:46,momo,remitted,Kumasi
AGT001,CUST0130,575.06,2026-03-10 05:00:44,momo,pending,Kumasi
AGT019,CUST0457,1381.06,2026-03-30 16:26:56,cash,remitted,Kumasi
AGT002,CUST0293,68.51,2026-05-04 04:36:15,bank_transfer,remitted,Kumasi
AGT044,CUST0020,626.15,2026-03-19 15:38:15,momo,remitted,Accra
AGT026,CUST0282,1107.28,2025-12-29 12:49:57,bank_transfer,remitted,Accra
AGT032,CUST0285,1271.54,2026-04-09 00:14:53,momo,remitted,Cape_Coast
AGT006,CUST0001,1162.54,2026-03-27 06:12:01,bank_transfer,remitted,Takoradi
AGT032,CUST0119,1401.56,2026-01-24 11:43:14,cash,missed,Accra
AGT004,CUST0035,32.06,2026-04-18 19:33:37,bank_transfer,remitted,Cape_Coast
AGT011,CUST0198,219.86,2026-04-26 10:48:16,momo,pending,Tamale
AGT017,CUST0485,1740.51,2026-02-24 04:46:42,cash,missed,Takoradi
AGT038,CUST0245,1369.86,2026-01-01 07:11:17,bank_transfer,pending,Accra
AGT024,CUST0059,243.6,2026-03-02 05:44:54,momo,remitted,Tamale
AGT005,CUST0325,1687.31,2026-03-16 12:09:00,cash,missed,Cape_Coast
AGT034,CUST0161,499.62,2026-05-28 17:20:49,bank_transfer,remitted,Accra
AGT006,CUST0497,966.95,2026-01-13 14:53:00,momo,remitted,Accra
AGT022,CUST0179,307.49,2026-03-08 03:58:04,bank_transfer,missed,Tamale
AGT011,CUST0206,1426.02,2026-04-24 08:01:48,bank_transfer,remitted,Accra
AGT048,CUST0012,1340.37,2026-06-06 00:23:09,cash,remitted,Kumasi
AGT016,CUST0490,438.0,2026-04-27 15:51:35,cash,remitted,Accra
AGT033,CUST0276,1729.53,2026-05-19 19:52:53,momo,remitted,Takoradi
AGT009,CUST0181,814.59,2026-02-20 17:08:28,cash,remitted,Tamale
AGT006,CUST0242,599.18,2025-12-31 10:49:17,momo,remitted,Takoradi
AGT016,CUST0216,321.61,2026-03-31 18:54:44,bank_transfer,missed,Cape_Coast
AGT029,CUST0251,547.01,2026-01-12 11:59:39,bank_transfer,missed,Takoradi
AGT003,CUST0299,63.61,2026-04-02 05:29:14,momo,missed,Kumasi
AGT020,CUST0126,1174.85,2026-04-27 19:18:15,bank_transfer,remitted,Kumasi
AGT036,CUST0482,1687.62,2026-06-09 10:46:27,cash,remitted,Takoradi
AGT019,CUST0217,1106.98,2026-05-16 15:47:26,bank_transfer,missed,Cape_Coast
AGT026,CUST0306,454.16,2025-12-29 17:05:09,cash,missed,Accra
AGT003,CUST0285,86.66,2026-01-06 04:51:18,momo,remitted,Kumasi
AGT019,CUST0185,444.96,2026-03-22 09:24:21,momo,remitted,Takoradi
AGT020,CUST0039,843.92,2026-02-07 18:37:52,bank_transfer,remitted,Takoradi
AGT032,CUST0223,1524.03,2026-03-24 12:17:28,bank_transfer,remitted,Takoradi
AGT007,CUST0184,391.93,2026-05-29 00:20:43,cash,remitted,Accra
AGT041,CUST0495,1445.19,2026-04-07 23:00:58,cash,pending,Tamale
AGT033,CUST0427,1736.53,2026-06-13 16:31:13,bank_transfer,remitted,Cape_Coast
AGT040,CUST0178,918.81,2026-03-03 00:11:24,bank_transfer,remitted,Tamale
AGT039,CUST0407,1646.44,2026-05-27 04:24:18,momo,remitted,Cape_Coast
AGT018,CUST0428,1118.22,2026-05-19 16:32:18,momo,remitted,Cape_Coast
AGT040,CUST0294,1281.44,2026-02-18 03:25:12,momo,remitted,Takoradi
AGT001,CUST0340,1062.03,2025-12-21 16:07:20,bank_transfer,remitted,Kumasi
AGT011,CUST0151,937.08,2026-01-04 21:20:05,bank_transfer,remitted,Takoradi
AGT028,CUST0384,484.61,2026-04-05 15:02:04,bank_transfer,pending,Accra
AGT025,CUST0126,620.32,2026-03-15 12:39:23,momo,remitted,Cape_Coast
AGT050,CUST0301,594.14,2026-06-07 21:04:58,bank_transfer,remitted,Kumasi
AGT023,CUST0308,1135.31,2026-01-06 07:55:12,cash,remitted,Cape_Coast
AGT031,CUST0336,257.51,2026-02-14 01:39:08,bank_transfer,missed,Cape_Coast
AGT030,CUST0434,1835.25,2025-12-20 04:26:25,bank_transfer,remitted,Takoradi
AGT042,CUST0234,1446.9,2026-06-14 23:37:21,bank_transfer,pending,Kumasi
AGT035,CUST0380,814.86,2026-04-05 06:33:54,bank_transfer,remitted,Kumasi
AGT007,CUST0375,334.08,2026-05-14 03:00:35,bank_transfer,missed,Cape_Coast
AGT016,CUST0008,1766.34,2026-05-25 21:33:02,cash,pending,Kumasi
AGT026,CUST0498,1651.08,2026-05-09 07:37:36,cash,remitted,Kumasi
AGT048,CUST0341,1449.01,2026-02-09 22:08:19,bank_transfer,remitted,Takoradi
AGT049,CUST0129,557.66,2026-01-07 01:14:55,momo,remitted,Tamale
AGT002,CUST0264,816.84,2026-01-27 18:00:31,bank_transfer,missed,Accra
AGT001,CUST0157,223.44,2026-04-14 20:26:15,bank_transfer,remitted,Tamale
AGT048,CUST0352,394.3,2026-01-28 18:25:38,bank_transfer,remitted,Kumasi
AGT012,CUST0358,1570.37,2026-03-07 20:21:09,momo,pending,Cape_Coast
AGT005,CUST0005,1435.78,2026-04-16 12:49:44,momo,pending,Accra
AGT037,CUST0495,1195.1,2026-05-28 06:16:49,momo,remitted,Accra
AGT032,CUST0086,1793.54,2026-01-02 23:06:37,cash,remitted,Cape_Coast
AGT009,CUST0175,1174.87,2026-04-03 18:49:33,momo,remitted,Accra
AGT041,CUST0290,944.6,2026-05-27 18:27:29,cash,remitted,Cape_Coast
AGT035,CUST0193,693.93,2026-01-15 10:47:36,cash,remitted,Accra
AGT019,CUST0311,1882.09,2026-02-21 05:45:46,momo,remitted,Tamale
AGT048,CUST0119,183.78,2026-04-20 18:47:55,momo,remitted,Accra
AGT016,CUST0218,1863.16,2026-06-16 03:55:41,momo,pending,Takoradi
AGT003,CUST0427,1656.9,2026-02-28 09:59:50,cash,remitted,Cape_Coast
AGT020,CUST0458,277.26,2026-04-10 08:24:49,bank_transfer,remitted,Accra
AGT024,CUST0414,1138.67,2026-03-29 10:22:17,momo,remitted,Cape_Coast
AGT033,CUST0114,1735.77,2026-04-13 23:37:43,momo,remitted,Takoradi
AGT024,CUST0466,1152.18,2025-12-22 17:44:51,momo,remitted,Accra
AGT011,CUST0145,1816.26,2026-01-20 01:27:11,cash,remitted,Accra
AGT049,CUST0026,1887.11,2025-12-25 14:57:05,cash,pending,Takoradi
AGT008,CUST0136,856.32,2026-02-03 22:32:49,bank_transfer,remitted,Takoradi
AGT036,CUST0303,767.08,2026-02-12 21:19:09,momo,remitted,Takoradi
AGT038,CUST0232,1873.92,2026-03-12 22:34:36,cash,missed,Cape_Coast
AGT040,CUST0369,1356.78,2026-01-15 18:43:34,bank_transfer,remitted,Takoradi
AGT020,CUST0076,249.72,2026-02-01 02:47:44,momo,missed,Cape_Coast
AGT035,CUST0475,103.74,2026-06-13 12:23:17,cash,remitted,Tamale
AGT048,CUST0328,1137.97,2026-01-05 15:17:13,momo,pending,Accra
AGT025,CUST0345,1861.74,2026-03-22 02:48:32,momo,remitted,Accra
AGT035,CUST0302,1691.61,2026-05-17 03:43:49,cash,missed,Kumasi
AGT025,CUST0452,1358.18,2026-01-06 03:58:54,cash,pending,Tamale
AGT029,CUST0289,295.45,2026-05-30 05:33:21,cash,remitted,Takoradi
AGT018,CUST0001,523.38,2026-01-26 01:44:22,momo,remitted,Takoradi
AGT046,CUST0147,1753.51,2026-05-31 11:03:20,momo,pending,Tamale
AGT018,CUST0287,381.96,2026-04-09 10:39:16,bank_transfer,remitted,Takoradi
AGT002,CUST0464,571.31,2026-06-11 16:26:53,momo,remitted,Kumasi
AGT035,CUST0142,276.61,2026-01-02 03:50:58,cash,remitted,Cape_Coast
AGT016,CUST0053,1358.69,2026-02-16 14:12:29,momo,pending,Accra
AGT041,CUST0304,1889.08,2025-12-23 08:53:51,bank_transfer,remitted,Tamale
AGT036,CUST0069,552.56,2026-02-10 23:07:31,bank_transfer,remitted,Accra
AGT033,CUST0361,961.31,2026-04-29 17:41:15,cash,remitted,Cape_Coast
AGT004,CUST0090,1275.99,2026-02-25 23:55:27,cash,missed,Tamale
AGT033,CUST0446,1998.94,2026-01-05 21:24:25,bank_transfer,missed,Cape_Coast
AGT014,CUST0220,227.52,2026-05-26 15:49:39,bank_transfer,missed,Takoradi
AGT021,CUST0450,1007.17,2026-05-16 08:46:06,bank_transfer,remitted,Takoradi
AGT048,CUST0498,782.54,2026-04-06 07:00:16,cash,missed,Takoradi
AGT020,CUST0192,1734.32,2026-05-12 06:03:36,bank_transfer,remitted,Cape_Coast
AGT008,CUST0454,962.42,2026-03-30 05:36:59,bank_transfer,remitted,Cape_Coast
AGT007,CUST0063,239.74,2026-01-17 14:36:39,cash,remitted,Cape_Coast
